First Name,Last Name,Action,Flight ID,Origin Airport,Destination Airport,Ticket Type,Ticket Quantity
Alondra,GonzalezAyala,Buy,613,LAX,ELP,First Class,5
Gary,Park,Buy,1932,ELP,LAX,Main Cabin,5
Michael,Martinez,Buy,863,ORD,ELP,First Class,5
Jody,Sanchez,Buy,3549,MEX,CJS,First Class,8
James,Romero,Buy,3423,LHR,ELP,Business Class,4
Deborah,Scott,Buy,2082,ELP,BOS,Business Class,5
Victoria,Ellis,Buy,31,ATL,ELP,Main Cabin,3
James,King,Buy,2092,ELP,LAS,Main Cabin,8
Brittany,Richard,Buy,1777,ELP,YYZ,Main Cabin,8
Sabrina,Nguyen,Buy,2217,ELP,LHR,First Class,8
David,Hayes,Buy,2430,ATL,ELP,Business Class,6
Laura,Smith,Buy,1807,DFW,ELP,First Class,1
Jacob,Contreras,Buy,2876,ELP,HND,Main Cabin,7
Enrique,Munoz,Buy,3390,ATL,ELP,Business Class,6
Michael,Fox,Buy,2327,BOS,ELP,Main Cabin,3
Daniel,Lucio,Buy,3446,LAX,BOS,Main Cabin,2
Dawn,King,Buy,3201,BOS,LAX,Main Cabin,4
Denise,Williams,Buy,864,ORD,ELP,Main Cabin,3
Kristina,Patrick,Buy,1929,ELP,LAX,Main Cabin,8
Chris,Holden,Buy,2953,ORL,LAX,Business Class,5
Sandra,Sutton,Buy,3574,CUN,ELP,Business Class,4
Michael,Moran,Buy,2607,LAX,BOS,Business Class,5
Dennis,Smith,Buy,1937,ELP,ORD,Business Class,2
Wendy,Montoya,Buy,1863,LHR,ELP,Business Class,2
Hector,Whitney,Buy,834,ELP,HND,First Class,6
Brandi,Daniel,Buy,3261,ORD,ELP,First Class,3
Joseph,Davis,Buy,2001,BOS,LAX,Main Cabin,3
Megan,Noble,Buy,2873,ELP,HND,Business Class,3
Emily,Brady,Buy,1132,ELP,LAS,Business Class,6
Carmen,Hays,Buy,1763,BOS,LAX,First Class,4
Kenneth,Boyd,Buy,2094,LAS,ELP,First Class,6
Timothy,Johnson,Buy,3179,ELP,LHR,First Class,3
Alyssa,Poole,Buy,2634,ELP,HND,First Class,8
Richard,Brown,Buy,3235,ELP,HND,Main Cabin,5
Ryan,Wilkins,Buy,3004,ELP,DFW,Main Cabin,1
Gabriela,SigalaAcosta,Buy,1770,ELP,CUN,Business Class,2
John,Blevins,Buy,3445,LAX,BOS,Main Cabin,1
Kelly,Bell,Buy,3345,ELP,CDG,Main Cabin,8
Kylie,King,Buy,533,LAS,ELP,Main Cabin,8
Ashley,Romero,Buy,889,ELP,LAS,First Class,1
Jamie,Brown,Buy,538,ELP,LHR,Business Class,2
Ronald,Martinez,Buy,120,HND,ELP,Main Cabin,2
Jerry,Curtis,Buy,409,ELP,LAS,Business Class,1
Brian,Andrews,Buy,3464,YYZ,ELP,First Class,2
Danielle,Gardner,Buy,3105,ELP,CDG,Main Cabin,8
Jennifer,Guzman,Buy,2628,ELP,CDG,First Class,1
Sheila,Lewis,Buy,1723,ELP,BOS,First Class,8
Jennifer,Mills,Buy,1093,LAX,ELP,Main Cabin,5
James,Hammond,Buy,919,LAX,ORL,Business Class,6
Dylan,Lopez,Buy,2331,ELP,LAS,Main Cabin,7
Lauren,Hall,Buy,1073,ELP,HND,First Class,8
Michelle,Sexton,Buy,1198,HND,ELP,Business Class,5
David,Hayes,Buy,1110,ATL,ELP,First Class,7
Aurora,Disney,Buy,2492,ELP,CUN,Main Cabin,2
Buzz,Lightyear,Buy,1215,LAX,ELP,Main Cabin,8
Gustavo,Rubio,Buy,1547,ELP,CDG,Business Class,5
Ricky,Gardner,Buy,1953,ELP,JFK,Main Cabin,8
Ann,Rogers,Buy,3048,BOS,ELP,First Class,5
Jade,Crawford,Buy,842,ELP,DFW,Business Class,4
Kristen,Martinez,Buy,332,ELP,CUN,Business Class,4
William,Adkins,Buy,2678,JFK,ELP,Business Class,8
Diana,Matthews,Buy,356,ELP,HND,Main Cabin,4
Michael,Adams,Buy,3268,ELP,ATL,Business Class,1
Darlene,Russell,Buy,416,LAS,ELP,Main Cabin,3
Angela,Lang,Buy,681,BOS,LAX,Business Class,1
Mark,Thompson,Buy,3584,YYZ,ELP,First Class,8
Tyler,Evans,Buy,2631,CDG,ELP,First Class,6
Antonio,Brooks,Buy,2344,LHR,ELP,First Class,3
James,Simpson,Buy,3161,ELP,BOS,Main Cabin,1
Misty,Horton,Buy,1196,ELP,HND,Main Cabin,2
Gary,Mckenzie,Buy,3400,JFK,ELP,Business Class,1
Danielle,Chavez,Buy,2320,JFK,ELP,First Class,8
Michelle,Sexton,Buy,968,DFW,ELP,Business Class,3
Jared,Scott,Buy,1665,ELP,CDG,Business Class,3
Robert,Park,Buy,3014,LAX,ELP,Business Class,3
Alison,Hicks,Buy,538,ELP,LHR,First Class,1
William,Adkins,Buy,58,ELP,LHR,First Class,8
Crystal,Hudson,Buy,2678,JFK,ELP,Business Class,2
Donald,Ramirez,Buy,615,LAX,ELP,Business Class,2
Patricia,Mcdonald,Buy,90,ELP,CUN,Business Class,8
Sarah,Stanton,Buy,772,ELP,LAS,Business Class,6
Christopher,Raymond,Buy,2198,JFK,ELP,Main Cabin,6
Brandy,Valenzuela,Buy,1310,CDG,ELP,First Class,8
Alexandra,Simpson,Buy,1832,ATL,ELP,Business Class,1
Stephanie,Obrien,Buy,2323,ELP,BOS,Business Class,3
Danielle,Conrad,Buy,2778,ELP,ORD,First Class,8
Mark,Rogers,Buy,3342,YYZ,ELP,Main Cabin,8
Brett,Mathis,Buy,613,LAX,ELP,Main Cabin,2
Ariana,Lara,Buy,1902,YYZ,ELP,Business Class,3
Cody,Robles,Buy,158,JFK,ELP,Main Cabin,4
Carlos,Lynch,Buy,2373,CUN,ELP,Main Cabin,6
Julie,Alexander,Buy,2669,ATL,ELP,Business Class,8
Misty,Jimenez,Buy,988,ELP,ATL,Business Class,7
Rodney,Mcneil,Buy,1108,ELP,ATL,Business Class,3
Lilo,Disney,Buy,282,ELP,BOS,Main Cabin,8
Joseph,Robinson,Buy,1185,ELP,CDG,Business Class,7
Jose,Espinoza Gonzalez,Buy,2684,ELP,BOS,Main Cabin,8
Paul,Fisher,Buy,352,CDG,ELP,Main Cabin,3
John,Hill,Buy,2279,HND,ELP,First Class,1
Brandon,Dillon,Buy,1813,LAX,ELP,Business Class,8
Krista,Blake,Buy,1863,LHR,ELP,First Class,7
William,Hunter,Buy,1141,LHR,ELP,Business Class,6
Joanna,Knight,Buy,534,LAS,ELP,Main Cabin,4
Michael,Clarke,Buy,2762,ELP,DFW,Main Cabin,7
Richard,Blackwell,Buy,2323,ELP,BOS,Main Cabin,8
Michael,Murray,Buy,2101,LHR,ELP,Main Cabin,1
Aladdin,Disney,Buy,115,ELP,HND,Main Cabin,1
Kaa,Disney,Buy,3248,DFW,ELP,Main Cabin,7
Jerry,Hampton,Buy,1562,ELP,DFW,First Class,6
Richard,Brown,Buy,2539,ELP,ORD,Main Cabin,7
Sherri,Armstrong,Buy,2643,ELP,DFW,Main Cabin,4
Brian,Andrews,Buy,2510,CDG,ELP,First Class,3
Brett,Higgins,Buy,2565,BOS,ELP,First Class,1
Gabriela,SigalaAcosta,Buy,2816,LAS,ELP,Main Cabin,1
Molly,Cohen,Buy,3463,YYZ,ELP,Main Cabin,3
Gina,Swanson,Buy,1984,LHR,ELP,Business Class,4
Richard,Edwards,Buy,406,BOS,ELP,Main Cabin,4
Douglas,Hernandez,Buy,1579,ELP,ORD,Main Cabin,4
Alyssa,Poole,Buy,530,ELP,LAS,First Class,4
Brian,Lopez,Buy,1654,CUN,ELP,First Class,3
Kathryn,Perez,Buy,3059,ELP,LHR,Business Class,1
Devin,Diaz,Buy,2468,CJS,MEX,Main Cabin,1
Robert,Preston,Buy,2397,HND,ELP,Main Cabin,6
Terrence,Dixon,Buy,3149,ATL,ELP,First Class,7
Michelle,Griffin,Buy,1838,JFK,ELP,First Class,1
Ann,Rogers,Buy,3272,ATL,ELP,Main Cabin,8
Christopher,Lucero,Buy,1135,LAS,ELP,Main Cabin,8
Jared,Scott,Buy,3427,CJS,MEX,Main Cabin,2
Ricky,Gardner,Buy,1226,ELP,ATL,First Class,5
Ashley,Jones,Buy,1767,LAX,BOS,Main Cabin,3
Amy,Bradley,Buy,1957,JFK,ELP,Business Class,5
David,Hayes,Buy,2398,HND,ELP,First Class,1
Ronald,Parker,Buy,1941,ORD,ELP,Business Class,3
Teresa,Stewart,Buy,1997,LAX,ORL,Main Cabin,4
Kevin,Tran,Buy,3353,ELP,HND,Business Class,6
Monica,Sullivan,Buy,1129,ELP,LAS,First Class,6
Ronald,Parker,Buy,210,ELP,CUN,Main Cabin,3
Felicia,Carlson,Buy,1239,JFK,ELP,First Class,2
David,Soto,Buy,1550,CDG,ELP,First Class,3
Stephanie,Perry,Buy,3205,LAX,BOS,Main Cabin,3
Ashley,Jones,Buy,1446,DFW,ELP,First Class,3
Krista,Blake,Buy,2618,ELP,YYZ,First Class,2
Tammy,Martinez,Buy,3072,MEX,CJS,Business Class,1
Christopher,Johnson,Buy,3063,LHR,ELP,First Class,6
Matthew,Erickson,Buy,3354,ELP,HND,First Class,5
Lisa,Garrett,Buy,1197,HND,ELP,Main Cabin,4
David,Harvey,Buy,430,MEX,CJS,First Class,7
Brian,Jacobson,Buy,2673,ELP,JFK,Main Cabin,6
Bradley,Bell,Buy,644,ELP,BOS,First Class,6
Erin,Mejia,Buy,2916,ELP,JFK,First Class,6
Elizabeth,Reyes,Buy,2710,MEX,CJS,First Class,6
Laurie,Mendoza,Buy,801,BOS,LAX,First Class,6
Rita,Owens,Buy,2356,ORL,LAX,Business Class,5
Jared,Scott,Buy,2618,ELP,YYZ,Main Cabin,4
George,Wood,Buy,490,ELP,LAX,Business Class,4
Sarah,Griffin,Buy,3424,LHR,ELP,First Class,1
Michelle,Oliver,Buy,2404,ELP,DFW,First Class,6
Amy,Rodriguez,Buy,2113,ORL,LAX,Main Cabin,1
Darrell,Jones,Buy,56,LAS,ELP,Business Class,5
Ricky,Thompson,Buy,3120,HND,ELP,First Class,2
Christopher,Ortega,Buy,2331,ELP,LAS,First Class,2
Matthew,Mason,Buy,1724,ELP,BOS,First Class,8
Samuel,RamosSanchez,Buy,2746,ELP,CDG,First Class,3
Denise,Johnson,Buy,1209,ELP,LAX,First Class,4
Philip,Collins,Buy,1681,ELP,DFW,First Class,5
Lisa,Robinson,Buy,3092,ELP,CUN,First Class,1
Jessica,Barragan,Buy,3201,BOS,LAX,Main Cabin,4
Krista,Lambert,Buy,2466,CJS,MEX,Business Class,2
Krystal,Thompson,Buy,979,ELP,ORD,First Class,2
Leila,Martinez,Buy,3446,LAX,BOS,Business Class,1
Robert,Davis,Buy,1131,ELP,LAS,Business Class,6
Brenda,Douglas,Buy,2200,JFK,ELP,Main Cabin,3
Cynthia,Giles,Buy,1131,ELP,LAS,First Class,8
Carmen,Petersen,Buy,1132,ELP,LAS,Main Cabin,8
Jeremy,Alvarez,Buy,3188,CJS,MEX,Business Class,4
Jose,Farley,Buy,3492,ELP,LAX,Business Class,1
Craig,Espinoza,Buy,1040,LAX,ORL,Business Class,2
Krystal,Thompson,Buy,3410,ELP,LAS,Business Class,1
Ashley,Jones,Buy,2374,CUN,ELP,Business Class,2
Brandon,Miller,Buy,1598,JFK,ELP,Main Cabin,4
Scott,Bailey,Buy,2424,ORD,ELP,First Class,2
Jennifer,Schultz,Buy,2323,ELP,BOS,Business Class,5
Jose,Evans,Buy,1537,ELP,YYZ,First Class,1
Tiffany,Jones,Buy,2118,LAX,ORL,Main Cabin,2
Olivia,Romero,Buy,2065,ELP,ATL,First Class,4
Lawrence,Price,Buy,3208,LAX,BOS,First Class,2
Lindsay,Webster,Buy,3598,HND,ELP,Main Cabin,6
Jeffrey,Rodriguez,Buy,2727,LAX,BOS,Main Cabin,3
Angela,Walker,Buy,2057,ELP,ORD,First Class,8
Jake,Mitchell,Buy,3300,ELP,LHR,First Class,4
Elizabeth,Jackson,Buy,2689,ELP,LAS,Business Class,6
Simba,King,Buy,1474,ELP,JFK,Main Cabin,3
Thomas,Hall,Buy,277,JFK,ELP,Main Cabin,4
Anthony,Hardin,Buy,1373,LAS,ELP,Main Cabin,7
Victor,Lopez,Buy,3199,LAX,ORL,First Class,4
Ruben,Edwards,Buy,1039,LAX,ORL,First Class,4
Michael,Morton,Buy,2466,CJS,MEX,Main Cabin,4
Dale,Disney,Buy,664,LHR,ELP,Business Class,6
Amy,Parsons,Buy,145,ELP,ATL,Main Cabin,5
Christopher,Robinson,Buy,3557,LAX,ORL,First Class,5
Olivia,Richardson,Buy,129,ELP,LAX,Business Class,1
Laura,Williams,Buy,3252,ELP,LAX,Main Cabin,7
Christopher,Craig,Buy,1841,ELP,BOS,Main Cabin,8
David,Davila,Buy,1410,ELP,CUN,Business Class,4
Mary,Stevens,Buy,2438,JFK,ELP,First Class,1
Heidi,Page,Buy,1307,ELP,CDG,Business Class,8
Carmen,Hays,Buy,3100,ELP,YYZ,Business Class,5
Michael,Prince,Buy,1776,CUN,ELP,Business Class,3
Roger,Casey,Buy,1569,ELP,LAX,Business Class,5
Jesse,Dunn,Buy,2990,CDG,ELP,First Class,5
Chip,Disney,Buy,738,ELP,ORD,First Class,8
Jessica,Barragan,Buy,346,ELP,CDG,First Class,7
Michelle,Oliver,Buy,2828,CJS,MEX,First Class,1
Kimberly,Martinez,Buy,1239,JFK,ELP,First Class,5
Victoria,Moses,Buy,2787,ELP,ATL,Main Cabin,7
Kimberly,Garcia,Buy,3205,LAX,BOS,First Class,7
Sarah,Mosley,Buy,2611,ELP,CUN,Main Cabin,7
Christian,Ellis,Buy,2396,ELP,HND,Business Class,6
Noah,Horne,Buy,844,ELP,DFW,Business Class,6
Michelle,Walsh,Buy,1478,JFK,ELP,First Class,4
Jared,Perry,Buy,2367,LAX,BOS,Business Class,2
Diana,Rivera,Buy,1316,ELP,HND,Business Class,5
Lindsay,Webster,Buy,907,CJS,MEX,Business Class,1
Valerie,Moore,Buy,1335,LAX,ELP,First Class,2
Bradley,Rodriguez,Buy,2783,ORD,ELP,Main Cabin,1
Laura,Smith,Buy,1924,ELP,DFW,Business Class,7
Pamela,Carter,Buy,2944,LHR,ELP,Main Cabin,5
Gabriel,Hansen,Buy,3165,BOS,ELP,Main Cabin,6
David,Costa,Buy,1578,ELP,ORD,Business Class,6
Mark,Stewart,Buy,2257,ELP,YYZ,First Class,5
Angela,Walker,Buy,2970,ELP,CUN,Business Class,3
Alexis,Ford,Buy,119,HND,ELP,Business Class,7
Hannah,Maldonado,Buy,306,CJS,MEX,First Class,4
Teresa,Taylor,Buy,3345,ELP,CDG,Main Cabin,4
Ariana,Lara,Buy,1438,HND,ELP,Main Cabin,3
Karla,Johnson,Buy,1397,LAX,ORL,Business Class,8
Andrea,Villagomez,Buy,386,ELP,ATL,Business Class,8
Rodney,Berg,Buy,580,ELP,YYZ,First Class,5
Elizabeth,Cordova,Buy,1740,ELP,LHR,Main Cabin,2
Zachary,Campbell,Buy,2926,BOS,ELP,Main Cabin,4
Michelle,Holland,Buy,940,ELP,YYZ,First Class,7
Ashley,Walker,Buy,2526,DFW,ELP,First Class,1
Dale,Disney,Buy,631,ATL,ELP,First Class,6
Jacob,Contreras,Buy,787,CJS,MEX,Business Class,5
Christopher,Raymond,Buy,236,ELP,HND,First Class,5
Jennifer,Schneider,Buy,3417,ELP,LHR,Business Class,8
Alexandra,Fox,Buy,1160,LAX,ORL,Main Cabin,8
William,Wolf,Buy,2397,HND,ELP,Main Cabin,7
Victoria,Martin,Buy,2562,ELP,BOS,Main Cabin,2
Ronald,Kent,Buy,1101,ORD,ELP,Business Class,2
Lisa,Stafford,Buy,3117,HND,ELP,Business Class,4
Tanya,Turner,Buy,1281,BOS,LAX,Business Class,5
Philip,Zamora,Buy,3499,ELP,ORD,Business Class,6
Erin,Mejia,Buy,1051,ELP,CUN,Business Class,7
Ryan,Washington,Buy,1599,JFK,ELP,Business Class,2
Tonya,Elliott,Buy,3581,YYZ,ELP,First Class,1
Keith,Christensen,Buy,2221,LHR,ELP,Business Class,2
Krystal,Thompson,Buy,1051,ELP,CUN,Main Cabin,6
Dana,Park,Buy,2676,ELP,JFK,Main Cabin,5
Mercedes,Nichols,Buy,153,ELP,JFK,Business Class,6
Ryan,Bowman,Buy,2993,ELP,HND,Main Cabin,6
Melissa,Johnson,Buy,1529,ELP,CUN,Business Class,8
Wesley,Lambert,Buy,389,ATL,ELP,First Class,4
Erica,Harrison,Buy,1201,ELP,DFW,Business Class,8
Marissa,Wagner,Buy,503,ORD,ELP,First Class,7
Melanie,Kirk,Buy,175,LAS,ELP,Main Cabin,8
Joseph,Lewis,Buy,3249,ELP,LAX,Main Cabin,5
Douglas,Mckay,Buy,2106,CJS,MEX,Main Cabin,2
Lawrence,Henry,Buy,1189,CDG,ELP,Business Class,5
Krista,Beck,Buy,1397,LAX,ORL,First Class,6
Sarah,Stanton,Buy,459,ELP,YYZ,First Class,5
Craig,Fleming,Buy,993,ELP,JFK,First Class,3
Kathleen,Hines,Buy,3192,MEX,CJS,Business Class,2
Dennis,Reynolds,Buy,2868,ELP,CDG,Business Class,3
Melissa,Mcdonald,Buy,2838,LAX,ORL,Main Cabin,1
Austin,Lewis,Buy,1475,ELP,JFK,First Class,3
Ray,Huynh,Buy,1523,BOS,LAX,First Class,5
Amy,Mcpherson,Buy,520,JFK,ELP,Business Class,4
Krista,Blake,Buy,1875,ORL,LAX,Business Class,7
Corey,Wilson,Buy,2361,BOS,LAX,Business Class,8
Misty,Horton,Buy,2235,ORL,LAX,Main Cabin,1
Amber,Conley,Buy,2999,HND,ELP,Business Class,8
