Money Available,DOB,Password,ID,Username,First Name,Flights Purchased,Last Name,Role,MinerAirlines Membership
6665.7,5/3/1960,Fun!23,736,kimberlyroberts,Kimberly,0,Roberts,Employee,true
14831.65,3/27/1977,Fun!23,843,kevintran,Kevin,0,Tran,Employee,true
9544.21,11/19/1984,Fun!23,296,jeffreyluna,Jeffrey,0,Luna,Employee,true
13348.28,5/28/1904,Fun!23,724,kellyjordan,Kelly,0,Jordan,Employee,true
7717.18,3/10/1972,Fun!23,117,christophernorris,Christopher,0,Norris,Employee,false
8583.16,6/9/1979,Fun!23,293,alexandrarobinson,Alexandra,0,Robinson,Employee,true
12990.16,9/25/1960,Fun!23,494,matthewporter,Matthew,0,Porter,Employee,false
5094.48,10/17/1906,Fun!23,861,paulharmon,Paul,0,Harmon,Employee,true
9737.4,2/27/1947,Fun!23,453,raybooth,Ray,0,Booth,Employee,true
11048.83,1/29/1916,Fun!23,833,michaelwilliamson,Michael,0,Williamson,Employee,true
4739,11/27/1924,Fun!23,726,jenniferguzman,Jennifer,0,Guzman,Employee,true
14486.33,6/10/1959,Fun!23,855,lauriejohnson,Laurie,0,Johnson,Employee,false
4390.77,5/19/1902,Fun!23,536,sherrivelasquez,Sherri,0,Velasquez,Employee,false
16960.03,8/21/1941,Fun!23,540,michaelmartinez,Michael,0,Martinez,Employee,true
12409.72,8/22/1975,Fun!23,190,ericvazquez,Eric,0,Vazquez,Employee,true
7085.37,6/10/1948,Fun!23,1012,mikayladennis,Mikayla,0,Dennis,Employee,false
3699.14,1/18/1944,Fun!23,739,jenniferbailey,Jennifer,0,Bailey,Employee,true
11984.22,2/23/1947,Fun!23,64,santiagoolivas,Santiago,0,Olivas,Employee,true
9904.27,3/17/1986,Fun!23,286,chrisking,Chris,0,King,Employee,false
14887.79,3/20/1940,Fun!23,448,jennifercopeland,Jennifer,0,Copeland,Employee,false
16165.94,6/5/1957,Fun!23,320,brianjacobson,Brian,0,Jacobson,Employee,true
6942.71,8/4/1907,Fun!23,936,sharongillespie,Sharon,0,Gillespie,Employee,true
17983.51,12/13/1907,Fun!23,208,amandamiller,Amanda,0,Miller,Employee,true
